Tỉnh/Thành phố,PCI_1: Gia nhập thị trường,PCI_2: Tiếp cận đất đai,PCI_3: Tính minh bạch,PCI_4: Chi phí tuân thủ hành chính,PCI_5: Chi phí không chính thức,PCI_6: Cạnh tranh bình đẳng,PCI_7: Hỗ trợ doanh nghiệp,PCI_8: Thiết chế pháp lý,PCI_9: Chính quyền kiến tạo,Điểm môi trường kinh doanh tổng hợp,Xếp hạng,Ward_Cluster,Silhouette
Đà Nẵng,10.0,7.63,9.06,7.56,6.94,7.27,5.62,9.33,7.28,7.85,1,0,0.2853
Bắc Ninh,8.55,7.71,7.14,10.0,8.42,2.41,4.67,9.69,10.0,7.62,2,0,0.2912
Hải Phòng,6.58,9.02,8.62,9.07,7.56,8.0,5.76,5.06,8.58,7.58,3,0,0.3902
Phú Thọ,4.7,9.79,8.59,3.89,7.7,6.24,5.66,7.5,9.12,7.02,4,0,0.4308
Quảng Ninh,6.06,8.55,4.98,4.34,7.6,8.35,4.33,9.1,9.35,6.96,5,0,0.326
Tuyên Quang,3.58,9.62,10.0,3.08,7.2,3.8,4.56,10.0,8.46,6.7,6,0,0.3311
Hưng Yên,5.79,7.98,9.65,4.6,9.04,8.49,5.24,2.81,6.34,6.66,7,0,0.4013
Đồng Nai,8.1,8.11,7.16,8.05,5.08,7.09,3.58,4.49,7.34,6.56,8,0,0.3114
Ninh Bình,1.76,4.94,7.02,6.57,10.0,3.87,3.82,9.87,7.9,6.19,9,0,0.284
Khánh Hòa,5.01,7.45,6.64,4.23,7.25,6.9,6.08,5.37,6.53,6.16,10,0,0.4162
An Giang,2.42,8.06,9.41,8.3,6.08,6.93,3.77,3.3,7.0,6.14,11,0,0.3355
Thái Nguyên,7.13,7.82,9.14,4.25,5.5,2.59,3.9,7.76,7.0,6.12,12,0,0.3205
Huế,6.76,6.36,8.56,0.0,7.09,1.99,10.0,5.23,8.8,6.09,13,0,0.3648
Lâm Đồng,0.66,7.66,4.05,5.58,6.04,10.0,4.04,6.66,9.84,6.06,14,0,0.2512
Lạng Sơn,4.14,6.02,5.99,2.28,9.93,6.07,3.31,4.91,9.43,5.79,15,0,0.4127
Lào Cai,5.0,8.17,6.52,3.96,7.57,1.76,5.54,6.52,6.57,5.73,16,0,0.3889
Thanh Hóa,8.13,3.17,5.94,5.18,8.29,2.88,3.18,8.16,6.47,5.71,17,0,0.2271
Điện Biên,6.41,5.83,8.31,3.6,8.33,3.46,4.13,3.93,6.59,5.62,18,0,0.4235
TP. Hồ Chí Minh,5.89,8.41,6.58,5.3,3.3,4.31,4.96,5.17,6.7,5.62,18,0,0.2843
Gia Lai,0.0,5.19,7.58,6.19,7.22,1.94,6.56,6.86,8.58,5.57,19,0,0.327
Đắk Lắk,6.28,4.53,5.14,4.1,7.92,2.94,6.07,6.53,5.08,5.4,20,0,0.2982
Cần Thơ,8.58,1.93,2.95,4.59,8.8,3.32,4.76,7.7,5.62,5.36,21,0,0.1497
Nghệ An,3.97,6.45,8.72,4.69,4.7,0.0,6.43,7.04,4.61,5.18,22,0,0.1987
Hà Nội,4.92,10.0,3.07,6.11,6.17,1.11,6.53,0.42,6.84,5.02,23,0,0.2834
Sơn La,6.12,8.86,2.14,2.94,6.88,1.55,5.41,4.65,6.33,4.99,24,0,0.254
Cà Mau,5.19,8.15,9.0,7.07,5.43,1.92,0.58,0.51,6.94,4.98,25,0,0.2657
Hà Tĩnh,3.71,4.77,5.01,4.14,5.49,2.06,4.14,6.91,7.25,4.83,26,0,0.248
Vĩnh Long,4.43,9.45,5.48,1.3,0.0,3.32,4.14,8.5,3.8,4.49,27,1,0.0195
Tây Ninh,3.74,2.61,5.06,9.77,4.64,3.08,0.0,9.83,1.14,4.43,28,1,0.2312
Lai Châu,4.82,7.02,4.5,3.25,4.03,5.52,2.91,1.53,5.81,4.38,29,0,0.2118
Đồng Tháp,9.67,3.09,3.48,6.13,2.52,2.83,0.32,9.51,0.0,4.17,30,1,0.3194
Cao Bằng,5.96,0.0,4.87,1.78,4.15,2.61,2.54,6.59,8.33,4.09,31,0,0.0999
Quảng Trị,5.32,6.53,6.55,0.93,1.34,1.51,3.75,0.0,5.6,3.5,32,0,0.1392
Quảng Ngãi,3.0,6.83,0.0,4.83,0.45,5.17,0.69,8.75,0.6,3.37,33,1,0.3547
